iter	RMSE
0	195814.5014
1	190963.0469
2	186232.5747
3	181624.1144
4	177129.2703
5	172751.5256
6	169371.3578
7	165180.2847
8	161102.6347
9	157130.487
10	153255.7148
11	149482.6541
12	145805.7504
13	142223.8154
14	138726.9879
15	135322.7792
16	131999.6059
17	128757.6798
18	125608.065
19	123176.9538
20	120144.9783
21	117213.2014
22	114357.9461
23	111574.5531
24	108855.7079
25	106210.3143
26	104168.7957
27	101644.965
28	99189.9197
29	96795.86352
30	94918.41413
31	92614.62708
32	90370.53063
33	88204.55483
34	86093.51442
35	84733.83475
36	82714.58706
37	80748.55143
38	78835.239
39	78573.15628
40	76708.88718
41	74891.9215
42	73124.25362
43	71408.34039
44	69732.4082
45	68102.46691
46	66514.85023
47	64972.47614
48	63469.88795
49	61999.88262
50	61913.68185
51	60463.86917
52	59071.14683
53	58958.37611
54	58870.68147
55	57486.14558
56	57396.37206
57	56076.58433
58	54793.5986
59	53533.55878
60	52322.27809
61	51905.83734
62	50699.34452
63	49560.12173
64	49533.58658
65	49465.61543
66	48352.42945
67	48270.03303
68	47189.16383
69	47114.83708
70	46063.10254
71	45029.27018
72	44927.44088
73	44873.55306
74	43866.62806
75	43810.7145
76	43790.19222
77	42820.11511
78	41869.18831
79	40954.07206
80	40947.45916
81	40058.68206
82	39188.79046
83	38350.01343
84	38325.24226
85	37505.42425
86	37322.18195
87	37295.14412
88	37239.30909
89	37228.6755
90	36436.11233
91	35667.43305
92	34921.39295
93	34198.67398
94	34187.41224
95	33600.58014
96	32913.74758
97	32823.44278
98	32760.65276
99	32750.68658
