iter	Passed	Remaining
0	2	212
1	4	210
2	5	189
3	7	189
4	9	184
5	11	182
6	13	180
7	14	170
8	16	169
9	17	161
10	19	160
11	21	159
12	23	158
13	25	157
14	27	156
15	29	156
16	31	154
17	33	153
18	36	154
19	38	153
20	39	150
21	42	149
22	44	148
23	46	146
24	48	145
25	50	143
26	52	142
27	54	140
28	56	138
29	58	136
30	60	135
31	62	133
32	65	132
33	67	130
34	69	129
35	71	127
36	73	125
37	75	123
38	76	120
39	78	118
40	80	115
41	81	112
42	83	111
43	85	108
44	87	106
45	89	104
46	91	102
47	92	100
48	94	98
49	96	96
50	97	94
51	99	92
52	101	89
53	102	87
54	104	85
55	106	83
56	107	81
57	109	79
58	111	77
59	112	75
60	114	73
61	116	71
62	118	69
63	119	67
64	121	65
65	123	63
66	125	61
67	127	59
68	129	58
69	131	56
70	132	54
71	134	52
72	136	50
73	138	48
74	140	46
75	142	44
76	144	43
77	146	41
78	147	39
79	148	37
80	150	35
81	152	33
82	154	31
83	156	29
84	158	27
85	160	26
86	162	24
87	164	22
88	165	20
89	167	18
90	169	16
91	171	14
92	172	12
93	174	11
94	176	9
95	178	7
96	180	5
97	182	3
98	184	1
99	186	0
