year,price,mileage,tax,mpg,engineSize,model,fuelType,transmission
2017,12000,15944,150,57.7,1.0,5,4,0
2018,14000,9083,150,57.7,1.0,6,4,1
2017,13000,12456,150,57.7,1.0,6,4,1
2019,17500,10460,145,40.3,1.5,5,4,1
2019,16500,1482,145,48.7,1.0,5,4,0
2015,10500,35432,145,47.9,1.6,5,4,1
2019,22500,2029,145,50.4,1.0,16,4,1
2017,9000,13054,145,54.3,1.2,5,4,1
2019,25500,6894,145,42.2,2.0,13,0,0
2018,10000,48141,145,61.4,1.0,6,4,1
2018,11561,18803,145,56.5,1.0,5,4,1
2018,13500,12065,145,54.3,1.0,2,4,1
2017,11000,20978,0,65.7,1.0,5,4,1
2018,17999,9002,145,54.3,2.0,13,0,2
2018,18999,8970,145,58.9,1.5,13,0,2
2018,14399,12810,145,64.2,1.5,13,0,1
2019,17999,10428,145,38.2,2.0,13,0,1
2018,16899,14680,145,54.3,2.0,13,0,1
2017,10999,12427,20,62.8,1.0,5,4,1
2019,12500,25521,145,55.4,1.0,5,4,1
2018,9499,20400,145,55.4,1.1,5,4,1
2017,10500,24926,145,65.7,1.0,5,4,1
2017,8995,26163,145,65.7,1.0,5,4,1
2014,8995,59000,160,47.9,2.0,13,0,1
2014,6795,35299,0,65.7,1.0,5,4,1
2017,18499,13063,145,41.5,2.0,6,4,1
2018,11799,23800,145,68.9,1.5,1,0,1
2015,8299,25935,0,65.7,1.0,5,4,1
2018,12499,8700,145,58.9,1.0,5,4,1
2017,8699,25000,125,54.3,1.2,5,4,1
2016,7999,60730,0,78.5,1.5,5,0,1
2017,8991,18561,145,54.3,1.2,5,4,1
2019,18990,8400,145,60.1,1.0,6,4,1
2013,7236,39090,0,65.7,1.0,5,4,1
2018,15287,33149,145,58.9,1.5,13,0,2
2019,20000,24,145,65.7,2.0,14,0,1
2020,20000,558,145,53.3,1.0,2,4,1
2019,21378,3259,145,39.2,2.0,13,0,1
2018,9814,15100,145,65.7,1.0,5,4,1
2018,8261,25000,145,57.7,1.2,12,4,1
2017,8788,15612,145,65.7,1.0,5,4,1
2018,12251,8920,145,58.9,1.0,5,4,1
2017,16320,24803,145,60.1,2.0,13,0,1
2019,13140,7,145,48.7,1.1,5,4,1
2018,10491,43019,145,48.7,1.0,5,4,2
2016,13870,41607,145,54.3,2.0,13,0,2
2017,14960,23554,145,41.5,2.0,6,4,1
2019,13540,6923,145,58.9,1.0,5,4,1
2019,17970,10985,145,74.3,1.5,6,0,1
2017,9330,29617,20,68.9,1.5,1,0,1
2016,6000,47613,0,65.7,1.0,5,4,1
2019,8995,5122,145,43.5,1.2,12,4,1
2019,8495,32,145,48.7,1.2,12,4,1
2016,6395,31562,125,54.3,1.2,5,4,1
2019,14495,8131,145,58.9,1.0,6,4,1
2018,19995,24568,145,31.7,2.0,21,0,0
2017,18495,39605,145,54.3,2.0,18,0,0
2019,17995,11496,145,57.6,2.0,6,0,1
2013,5495,51271,30,54.3,1.2,5,4,1
2018,16995,7189,145,58.9,1.5,13,0,0
2018,16495,29428,145,54.3,1.5,13,0,1
2018,17998,12162,145,39.2,1.5,13,4,1
2014,7498,33023,160,44.1,1.6,0,4,2
2019,17498,2714,150,49.6,1.0,6,4,1
2017,17498,17051,150,56.5,2.0,18,0,1
2013,5998,44304,0,76.4,1.5,5,0,1
2019,17698,4844,145,34.4,1.5,13,4,1
2016,11000,31810,125,60.1,2.0,13,0,1
2017,8700,43081,145,44.8,1.5,2,4,1
2017,15300,47159,145,54.3,2.0,13,0,1
2013,7490,25000,0,65.7,1.0,5,4,1
2017,10760,29891,145,60.1,1.0,6,4,1
2019,18760,10237,145,39.2,1.5,13,4,1
2014,6360,48653,0,65.7,1.0,5,4,1
2014,6270,60888,0,65.7,1.0,5,4,1
2017,17920,15815,235,38.2,1.5,13,4,0
2013,4790,74128,0,65.7,1.0,5,4,1
2015,7830,50124,0,74.3,1.5,6,0,1
2015,6990,29851,0,76.4,1.5,5,0,1
2016,18640,24105,160,48.7,2.0,3,0,1
2015,6700,28935,30,54.3,1.2,5,4,1
2018,9498,30925,145,65.7,1.0,5,4,1
2018,13698,13418,145,58.9,1.0,6,4,1
2018,13298,13756,145,58.9,1.0,5,4,1
2015,14398,25175,145,54.3,2.0,13,0,1
2017,8998,21267,145,64.2,1.1,5,4,1
2019,12698,12130,145,56.5,1.0,5,4,1
2019,11998,17354,145,56.5,1.0,5,4,1
2019,13498,15822,145,58.9,1.0,5,4,1
2019,13498,10557,145,58.9,1.0,5,4,1
2016,9698,20786,20,61.4,1.0,6,4,1
2016,24995,7997,235,36.7,2.3,6,4,1
2017,9895,19079,145,65.7,1.0,5,4,1
2018,12995,14979,145,58.9,1.0,5,4,1
2015,9295,47904,125,56.5,1.6,20,0,1
2016,8495,24410,125,54.3,1.2,5,4,1
2019,13895,13600,145,58.9,1.0,5,4,1
2018,18298,21456,145,67.3,2.0,6,0,1
2015,9198,31512,0,74.3,1.5,6,0,1
2016,10798,11843,0,65.7,1.0,5,4,1
2016,8998,31373,0,65.7,1.0,5,4,1
2018,18498,7796,145,54.3,1.5,13,0,1
2017,13498,26597,145,54.3,2.0,13,0,1
2017,14998,15978,30,64.2,1.5,13,0,1
2017,13998,13265,240,38.2,1.5,13,4,0
2016,9998,20491,125,52.3,1.0,2,4,1
2017,10998,16310,125,50.4,1.0,20,4,1
2017,17698,14557,145,41.5,2.0,6,4,1
2017,11498,30917,125,51.4,1.0,6,4,2
2017,12798,22153,145,74.3,1.5,6,0,1
2015,8698,31743,30,55.4,1.0,1,4,1
2019,19495,13673,145,47.9,2.0,13,0,1
2018,9995,25776,145,65.7,1.0,5,4,1
